,type,name,zcr,rms,pitch,hnr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
5400,voice,john,0.05000000074505806,0.0014977051177993417,3.0,4.0,64.87689971923828,-13.391546249389648,16.9791202545166,-1.473062515258789,7.293248176574707,2.0957021713256836,8.008783340454102,2.193354606628418,-4.362815856933594,0.41390228271484375,9.037540435791016,3.9833335876464844
5401,voice,john,0.05000000074505806,0.0014977051177993417,3.0,4.0,64.87689971923828,-13.391546249389648,16.9791202545166,-1.473062515258789,7.293248176574707,2.0957021713256836,8.008783340454102,2.193354606628418,-4.362815856933594,0.41390228271484375,9.037540435791016,3.9833335876464844
5402,voice,john,0.054999999701976776,0.0013105181278660893,3.0,4.0,63.26289367675781,-7.146024227142334,14.858831405639648,-0.8137621879577637,5.361800193786621,6.003342628479004,10.247869491577148,1.4263181686401367,-5.919412612915039,-1.6046218872070312,7.490727424621582,7.233988285064697
5403,voice,john,0.06750000268220901,0.0011034536873921752,3.0,4.0,64.322509765625,-10.084367752075195,11.020858764648438,-2.7556276321411133,3.323634147644043,5.441339492797852,3.3679800033569336,-0.6200642585754395,-5.195430755615234,-1.3065223693847656,10.611200332641602,5.080144882202148
5404,voice,john,0.06499999761581421,0.001288313535042107,3.0,4.0,61.568580627441406,-9.196979522705078,8.24635124206543,-7.3795576095581055,-1.964322566986084,-6.995888710021973,-0.26727962493896484,-9.015218734741211,-3.6410865783691406,-0.7440261840820312,12.137155532836914,3.1596007347106934
5405,voice,john,0.10499999672174454,0.0016802919562906027,3.0,4.0,62.11329650878906,-12.8604097366333,9.39939022064209,-2.796196222305298,-2.112955093383789,-9.293354034423828,-1.3974542617797852,-3.489759922027588,-2.6678829193115234,-0.9019966125488281,8.39565658569336,7.546476364135742
5406,voice,john,0.1587499976158142,0.002109425375238061,3.0,4.0,63.41337966918945,-8.264708518981934,21.449398040771484,1.7936222553253174,-2.533780097961426,-6.353850841522217,1.7371625900268555,1.6210336685180664,-5.292661666870117,1.9622955322265625,11.348382949829102,10.768661499023438
5407,voice,john,0.20499999821186066,0.0029419255442917347,3.0,4.0,57.929046630859375,-11.118267059326172,26.776697158813477,-7.791285037994385,3.8648271560668945,-2.397338390350342,0.7278971672058105,-2.9791717529296875,3.1314830780029297,-1.0004959106445312,7.608489990234375,10.354925155639648
5408,voice,john,0.21125000715255737,0.004773706663399935,3.0,4.0,38.39818572998047,-23.063180923461914,38.278160095214844,-8.841987609863281,15.274395942687988,-10.12224292755127,3.6142525672912598,-6.563593864440918,10.342768669128418,-6.872808456420898,0.2831888198852539,3.147918224334717
5409,voice,john,0.22624999284744263,0.007841355167329311,3.0,4.0,19.302692413330078,-20.445037841796875,36.77941131591797,-11.489542007446289,15.712642669677734,-18.23839569091797,-3.4937591552734375,-10.795953750610352,15.311309814453125,-4.995903015136719,5.937603950500488,4.681281566619873
