,type,name,zcr,rms,pitch,hnr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
11835,voice,christina,0.09125000238418579,0.0011045518331229687,3.0,4.0,67.25483703613281,-13.32879638671875,13.96408462524414,-3.0488266944885254,1.5410881042480469,-5.677899360656738,-1.7192955017089844,-0.9836063385009766,2.992635726928711,2.8565216064453125,14.526992797851562,9.060432434082031
11836,voice,christina,0.10125000029802322,0.0008814549655653536,3.0,4.0,66.14103698730469,-4.0300612449646,21.717689514160156,-0.5340023040771484,4.941933631896973,-2.177353858947754,-1.5505590438842773,-9.677959442138672,0.3385295867919922,2.159015655517578,10.012025833129883,3.2804369926452637
11837,voice,christina,0.10125000029802322,0.0007963816169649363,3.0,4.0,52.270286560058594,-7.340573310852051,12.723360061645508,-7.049713134765625,9.580804824829102,-0.34301042556762695,6.115488052368164,-4.419713973999023,-5.72160530090332,3.7096519470214844,4.959573745727539,-0.32318115234375
11838,voice,christina,0.09375,0.0008176055853255093,3.0,4.0,30.853607177734375,1.869349718093872,13.962213516235352,-7.033740043640137,11.76391887664795,-9.204996109008789,4.23342752456665,0.345120906829834,-8.69974136352539,1.1037445068359375,5.396930694580078,6.758060455322266
11839,voice,christina,0.07625000178813934,0.0007903544465079904,3.0,4.0,54.34938049316406,-22.478710174560547,10.909479141235352,-9.460906982421875,2.909853935241699,-3.3315911293029785,4.028566360473633,3.3714962005615234,12.957868576049805,5.676513671875,9.400602340698242,4.9587788581848145
11840,voice,christina,0.07500000298023224,0.0007795845158398151,3.0,4.0,49.59600067138672,-27.478744506835938,5.153989791870117,-10.764542579650879,2.8560829162597656,-1.6311964988708496,2.609193801879883,2.1347665786743164,2.244945526123047,5.439605712890625,9.497285842895508,5.325980186462402
11841,voice,christina,0.08124999701976776,0.0007596586365252733,3.0,4.0,50.425270080566406,-17.088146209716797,11.345592498779297,-4.008496284484863,1.5074348449707031,2.8823282718658447,1.3431386947631836,1.7020854949951172,5.227191925048828,6.597663879394531,9.483928680419922,-4.942521095275879
11842,voice,christina,0.07874999940395355,0.0008237944566644728,3.0,4.0,62.47922897338867,-13.584184646606445,7.763671875,-11.630123138427734,-0.7587509155273438,-6.257119178771973,4.977962493896484,-1.5471453666687012,2.5056419372558594,3.1464195251464844,8.265096664428711,-0.21840286254882812
11843,voice,christina,0.06624999642372131,0.0009413831867277622,3.0,4.0,66.5390625,-14.068769454956055,11.125179290771484,-8.810245513916016,1.5217666625976562,-5.89605712890625,2.9428510665893555,-2.186119556427002,3.125394821166992,-1.9184722900390625,0.6226701736450195,-2.314988613128662
11844,voice,christina,0.0625,0.0009661277872510254,3.0,4.0,64.97512817382812,-12.39783000946045,13.720949172973633,-9.0838623046875,5.064786911010742,-2.0215935707092285,1.4291181564331055,0.05397224426269531,-2.2116260528564453,-1.1583404541015625,3.491544723510742,-2.7027249336242676
11845,voice,christina,0.06499999761581421,0.0009768056916072965,3.0,4.0,63.19301986694336,-14.207839965820312,13.376946449279785,-12.500248908996582,-1.9781990051269531,-9.987374305725098,1.6524829864501953,0.669804573059082,1.2426891326904297,-3.463611602783203,4.494043350219727,0.31618738174438477
11846,voice,christina,0.05249999836087227,0.0010666793677955866,3.0,4.0,62.93278503417969,-14.955153465270996,18.999767303466797,-0.1765594482421875,9.952034950256348,3.7977852821350098,8.375129699707031,2.01650333404541,3.3606395721435547,-0.3123359680175781,2.3766727447509766,-7.328777313232422
11847,voice,christina,0.06750000268220901,0.0010028467513620853,3.0,4.0,60.084747314453125,-14.976600646972656,8.138006210327148,-1.6626391410827637,4.923334121704102,5.511804580688477,0.8588981628417969,-0.18917608261108398,6.361310958862305,-2.8167572021484375,-0.4298267364501953,4.290988445281982
11848,voice,christina,0.07124999910593033,0.000969303713645786,3.0,4.0,64.81482696533203,-10.790584564208984,17.900432586669922,-3.582329750061035,-0.6667766571044922,-2.4577603340148926,0.7810792922973633,-1.612809181213379,-0.7846927642822266,-0.8868217468261719,5.9549713134765625,1.2610316276550293
11849,voice,christina,0.08624999970197678,0.0009377335663884878,3.0,4.0,54.419105529785156,-15.194960594177246,10.662702560424805,1.8260188102722168,10.188666343688965,-2.281526565551758,8.113862037658691,1.2019577026367188,-1.5219802856445312,0.7217674255371094,0.3805875778198242,-1.1295995712280273
11850,voice,christina,0.06875000149011612,0.001203759340569377,3.0,4.0,55.13629150390625,-17.67111587524414,13.571030616760254,-1.2438478469848633,6.301583290100098,-5.8116302490234375,10.915117263793945,4.084109306335449,1.3157958984375,1.2366905212402344,5.386919021606445,1.470449447631836
11851,voice,christina,0.07750000059604645,0.0011642500758171082,3.0,4.0,57.714664459228516,-15.861462593078613,15.360993385314941,-6.296993255615234,2.2164363861083984,-2.098543882369995,4.745729446411133,0.18138504028320312,-0.8742313385009766,-0.09184646606445312,4.083087921142578,-4.65341329574585
11852,voice,christina,0.06624999642372131,0.0012354282662272453,3.0,4.0,59.53900909423828,-13.244980812072754,14.070779800415039,-6.201867580413818,1.8388023376464844,0.820624828338623,5.179586410522461,0.12324142456054688,0.9006404876708984,0.07605361938476562,4.918674468994141,-2.132561683654785
11853,voice,christina,0.07249999791383743,0.001192886964417994,3.0,4.0,59.50300598144531,-15.442830085754395,13.9730224609375,-5.18367862701416,6.420764923095703,-4.05379581451416,2.1521053314208984,-3.874785900115967,-2.170928955078125,2.4151535034179688,6.642092704772949,-2.152935028076172
11854,voice,christina,0.04874999821186066,0.0013557187048718333,3.0,4.0,59.72648620605469,-12.799406051635742,18.40428924560547,-4.022268772125244,4.019777297973633,-0.13411951065063477,4.527094841003418,-2.8027358055114746,0.4552478790283203,1.4139747619628906,9.553239822387695,3.3467702865600586
11855,voice,christina,0.06624999642372131,0.0011424034601077437,3.0,4.0,56.250099182128906,-14.998644828796387,18.3569393157959,-3.2997055053710938,2.0487842559814453,-5.925161361694336,1.3944387435913086,-4.544280052185059,-5.406276702880859,5.048133850097656,13.358245849609375,6.795214653015137
11856,voice,christina,0.05624999850988388,0.0011848392896354198,3.0,4.0,62.1507682800293,-9.95269775390625,11.96442985534668,-7.918513298034668,2.245298385620117,0.15513992309570312,-2.2002811431884766,0.9463281631469727,1.5042724609375,3.3136634826660156,7.818742752075195,1.083664894104004
11857,voice,christina,0.05000000074505806,0.0012548937229439616,3.0,4.0,63.58905792236328,-16.386268615722656,13.580470085144043,-9.566627502441406,1.07489013671875,-5.67243766784668,-3.3466320037841797,-0.0717768669128418,5.454465866088867,0.6101150512695312,7.256990432739258,0.978548526763916
11858,voice,christina,0.05624999850988388,0.0012468041386455297,3.0,4.0,65.77200317382812,-11.426946640014648,14.785333633422852,-5.523919105529785,1.9738883972167969,-0.6638517379760742,10.050800323486328,8.28963565826416,4.285732269287109,-2.7048492431640625,2.329681396484375,1.110468864440918
11859,voice,christina,0.07500000298023224,0.0010511970613151789,3.0,4.0,61.82951736450195,-6.066095352172852,7.349322319030762,-6.305509567260742,-1.4239816665649414,-7.416003227233887,9.313387870788574,-0.2992997169494629,4.168697357177734,-5.610836029052734,3.6801929473876953,-2.08121395111084
11860,voice,christina,0.06750000268220901,0.0010449897963553667,3.0,4.0,35.45006561279297,-3.788107395172119,0.856989860534668,3.7754898071289062,5.165877342224121,-4.145112991333008,13.178125381469727,-4.550796985626221,10.350282669067383,-6.938407897949219,12.631767272949219,-0.9505648612976074
11861,voice,christina,0.07500000298023224,0.0009840173879638314,3.0,4.0,32.273841857910156,-1.3853087425231934,-0.4048304557800293,4.495506286621094,5.986789703369141,0.45772743225097656,18.749269485473633,-0.45157432556152344,7.692243576049805,-1.4565658569335938,10.990452766418457,0.5315532684326172
