,type,name,zcr,rms,pitch,hnr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,voice,silence,0.008750000037252903,0.0005742729990743101,3.0,4.0,1.9073486328125e-05,-2.7894973754882812e-05,5.7220458984375e-05,-1.7344951629638672e-05,9.5367431640625e-06,-3.0666589736938477e-05,1.9073486328125e-06,-1.2796226656064391e-06,-4.57763671875e-05,0.0001983642578125,-9.1552734375e-05,-3.522634506225586e-05
1,voice,silence,0.021250000223517418,0.0006987617234699428,3.0,4.0,1.9073486328125e-05,-2.7894973754882812e-05,5.7220458984375e-05,-1.7344951629638672e-05,9.5367431640625e-06,-3.0666589736938477e-05,1.9073486328125e-06,-1.2796226656064391e-06,-4.57763671875e-05,0.0001983642578125,-9.1552734375e-05,-3.522634506225586e-05
2,voice,silence,0.042500000447034836,0.0015550488606095314,3.0,4.0,58.53675079345703,-10.702798843383789,13.181199073791504,2.8500823974609375,-0.06435775756835938,-8.879520416259766,-3.847280502319336,1.8547492027282715,4.472015380859375,8.341365814208984,7.388681411743164,1.4285635948181152
3,voice,silence,0.03999999910593033,0.0019154545152559876,3.0,4.0,57.548248291015625,-15.250849723815918,11.870414733886719,0.3464221954345703,3.789816379547119,-1.1119279861450195,1.3989410400390625,-0.07312726974487305,-3.812091827392578,-1.3085746765136719,9.016464233398438,3.1571598052978516
4,voice,silence,0.03375000134110451,0.0021764428820461035,3.0,4.0,69.63600158691406,-3.0819039344787598,19.689491271972656,-0.6176004409790039,6.266579627990723,-0.5153379440307617,8.976036071777344,5.506174087524414,0.726287841796875,-0.8530960083007812,4.4049224853515625,0.30821800231933594
5,voice,silence,0.026249999180436134,0.001851534703746438,3.0,4.0,68.30200958251953,-11.049576759338379,14.823884963989258,3.4285826683044434,9.078544616699219,2.554163932800293,1.782125473022461,6.809945106506348,6.375486373901367,2.304035186767578,12.828254699707031,4.980550289154053
6,voice,silence,0.03750000149011612,0.0016302807489410043,3.0,4.0,69.4803466796875,-9.379922866821289,12.333610534667969,-8.462571144104004,1.0722484588623047,-8.763964653015137,0.5147161483764648,-0.7913012504577637,-1.6130180358886719,3.674274444580078,12.41122055053711,5.576394081115723
7,voice,silence,0.05874999985098839,0.0012459256686270237,3.0,4.0,62.153900146484375,-8.771198272705078,11.69369125366211,-5.7158894538879395,10.374893188476562,6.345965385437012,5.489987373352051,1.7464303970336914,4.6491851806640625,5.879474639892578,10.13180160522461,1.7060837745666504
8,voice,silence,0.05000000074505806,0.001150046125985682,3.0,4.0,68.60478973388672,-10.757770538330078,12.733685493469238,-2.428246021270752,4.068463325500488,-3.6382789611816406,-5.047022819519043,-6.527489185333252,-1.5951042175292969,2.9237899780273438,7.217388153076172,0.828740119934082
9,voice,silence,0.04874999821186066,0.0014234990812838078,3.0,4.0,63.745338439941406,-15.58011531829834,12.803564071655273,-1.8641862869262695,9.501111030578613,3.4912948608398438,1.0557708740234375,1.080683708190918,8.79193115234375,2.8842735290527344,15.568359375,5.58108377456665
10,voice,silence,0.03999999910593033,0.0019552374724298716,3.0,4.0,63.859336853027344,-6.64617919921875,18.88144302368164,1.7301254272460938,8.295896530151367,-4.000430107116699,-5.084283828735352,-1.9182357788085938,-5.826410293579102,1.1046180725097656,9.539485931396484,2.4726414680480957
11,voice,silence,0.03125,0.0017969160107895732,3.0,4.0,65.26283264160156,-0.7593429088592529,19.869537353515625,6.498449325561523,5.277079105377197,-4.233405113220215,1.1645917892456055,-0.08652639389038086,6.924741744995117,3.2420387268066406,9.47519302368164,2.911283016204834
12,voice,silence,0.021250000223517418,0.0017190625658258796,3.0,4.0,68.18797302246094,-4.689366340637207,13.529770851135254,-1.4715709686279297,3.815610408782959,-2.5822830200195312,5.48549747467041,-0.15755176544189453,10.217718124389648,2.5000381469726562,10.852069854736328,5.746180057525635
13,voice,silence,0.042500000447034836,0.001460006576962769,3.0,4.0,58.23936080932617,-11.140445709228516,11.65934944152832,1.8647089004516602,8.202191352844238,2.9914603233337402,6.931098937988281,5.014680862426758,12.072921752929688,5.832988739013672,6.395289421081543,-1.222982406616211
14,voice,silence,0.038750000298023224,0.0015164646320044994,3.0,4.0,61.07152557373047,-8.710962295532227,14.53036117553711,-3.570741653442383,1.765547752380371,-4.383808612823486,1.9280881881713867,2.0570173263549805,7.731245040893555,-1.4355735778808594,8.585830688476562,2.339327812194824
15,voice,silence,0.032499998807907104,0.0016579163493588567,3.0,4.0,68.27174377441406,-3.391489028930664,24.00952911376953,0.13936853408813477,0.6544485092163086,-3.9898123741149902,-0.16538715362548828,2.50063419342041,2.3063602447509766,0.06914520263671875,9.743721008300781,5.0160980224609375
16,voice,silence,0.03999999910593033,0.0013451948761940002,3.0,4.0,66.28376007080078,-8.461417198181152,19.191776275634766,2.7305526733398438,1.1574392318725586,-0.6837673187255859,3.9774608612060547,5.683099746704102,12.14267349243164,5.251079559326172,15.159839630126953,6.044295310974121
17,voice,silence,0.042500000447034836,0.0012472760863602161,3.0,4.0,64.80350494384766,-4.603127479553223,19.955841064453125,0.30661916732788086,3.0226669311523438,-0.7352194786071777,0.18834781646728516,-0.43859004974365234,-0.6767635345458984,-2.2577476501464844,3.9542064666748047,0.01831197738647461
18,voice,silence,0.036249998956918716,0.0012826798483729362,3.0,4.0,66.50082397460938,-9.663070678710938,17.099641799926758,5.972078323364258,8.97437858581543,0.5243129730224609,4.374685287475586,0.09231758117675781,8.59388542175293,3.4742698669433594,10.933692932128906,3.298330307006836
19,voice,silence,0.032499998807907104,0.0017347095999866724,3.0,4.0,63.26447296142578,-0.9792418479919434,19.295562744140625,-5.345895767211914,2.3022356033325195,-1.5380725860595703,8.43009090423584,-1.784374713897705,-1.694570541381836,0.6880302429199219,8.868637084960938,3.2959537506103516
20,voice,silence,0.04625000059604645,0.0016771283699199557,3.0,4.0,74.21552276611328,-3.5794639587402344,16.34769630432129,-3.1828317642211914,8.370733261108398,1.9608755111694336,0.39924144744873047,1.7981605529785156,5.700477600097656,2.6903457641601562,5.444795608520508,-1.0426807403564453
21,voice,silence,0.057500001043081284,0.0011075048241764307,3.0,4.0,62.357276916503906,-6.791871070861816,18.37811851501465,5.152215957641602,6.698650360107422,-1.2992444038391113,1.4113264083862305,0.4459233283996582,3.268552780151367,1.7734222412109375,0.5676078796386719,-1.8409137725830078
22,voice,silence,0.051249999552965164,0.001204697065986693,3.0,4.0,56.04185485839844,-9.80737018585205,16.008699417114258,0.3133888244628906,2.832648277282715,-0.36274242401123047,-1.6635017395019531,1.1033639907836914,1.3207454681396484,-3.9138145446777344,-0.5047855377197266,-0.26310253143310547
23,voice,silence,0.04125000163912773,0.0011862622341141105,3.0,4.0,68.12442016601562,-3.243046760559082,19.869171142578125,1.9419441223144531,10.167776107788086,-4.466821670532227,0.9397497177124023,-1.3467907905578613,2.389822006225586,3.763568878173828,8.355684280395508,0.448819637298584
